company_number,titre_publication,reference_publication,date_depot,date_fin_exercice,langue,fichier
0200068636,PDF - Volledig schema kapitaalvennootschap,1995-39200790,1995-07-13T00:00:00Z,1994-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/F98EF633-D257-4E8D-BC54-F070AECB42F8/files/microfilm
0200068636,PDF - Volledig schema kapitaalvennootschap,1994-29801967,1994-07-14T00:00:00Z,1993-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/9FB84D7F-11D7-4CD3-B4D9-252DD5F5DEF9/files/microfilm
0200068636,PDF - Volledig schema kapitaalvennootschap,1993-19000889,1993-06-29T00:00:00Z,1992-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/CDF0D1A4-A22F-4FE7-A882-1DCE4258962F/files/microfilm
0200068636,PDF - Volledig schema kapitaalvennootschap,1992-18500064,1992-06-30T00:00:00Z,1991-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/22C727A8-2960-4059-A68E-940B50CB5607/files/microfilm
0200068636,PDF - Volledig schema kapitaalvennootschap,1991-15504564,1991-07-03T00:00:00Z,1990-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/4F19DD68-DB80-4AD0-B0C1-EA1310391C67/files/microfilm
0200068636,PDF - Volledig schema kapitaalvennootschap,1990-15504773,1990-07-05T00:00:00Z,1989-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/17978A5F-415B-4544-9EA1-1B6CEC0AF2E6/files/microfilm
0200068636,PDF - Volledig schema kapitaalvennootschap,1989-10602476,1989-06-23T00:00:00Z,1988-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/A68928F0-DC08-4EA5-977A-7DD1CD1CE66E/files/microfilm
0200068636,Full - result in the forme of an account,1988-13604750,1988-07-05T00:00:00Z,1987-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/F76A96FB-F1D0-41C6-A9E4-819082FDDFEE/files/microfilm
0200068636,Full - result in the forme of an account,1987-15003843,1987-07-02T00:00:00Z,1986-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/867D577F-A1EF-4958-B683-47EA384E9DF2/files/microfilm
0200068636,Full - result in the forme of an account,1986-28501125,1986-07-10T00:00:00Z,1985-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/2105F01C-6C5F-4F50-8152-D0E1DB0DFCCB/files/microfilm
0200068636,Full - result in the forme of an account,1985-24500979,1985-07-17T00:00:00Z,1984-12-31T00:00:00Z,EN,https://consult.cbso.nbb.be/api/rs-consult/deposits/835D8454-1AC4-49C6-A938-81F106AB8D94/files/microfilm
0200068636,Full - result in the forme of an account (version77-83) ,1984-10900150,1984-07-12T00:00:00Z,1983-12-31T00:00:00Z,EN,https://consult.cbso.nbb.be/api/rs-consult/deposits/1CD275C3-279D-4F03-8E5F-727232080F01/files/microfilm
0200068636,Full - result in the forme of an account (version77-83) ,1983-08600570,1983-06-30T00:00:00Z,1982-12-31T00:00:00Z,EN,https://consult.cbso.nbb.be/api/rs-consult/deposits/4F95E356-12B4-42C8-88B0-6E60188316EC/files/microfilm
0200068636,Full - result in the forme of an account (version77-83) ,1982-09400321,1982-07-06T00:00:00Z,1981-12-31T00:00:00Z,EN,https://consult.cbso.nbb.be/api/rs-consult/deposits/7D5AA920-0D28-4DB1-B88A-7CC03317D0C6/files/microfilm
0200068636,Full - result in the forme of an account (version77-83) ,1981-08202371,1981-07-03T00:00:00Z,1980-12-31T00:00:00Z,EN,https://consult.cbso.nbb.be/api/rs-consult/deposits/4F57EF59-D212-4A1B-9113-A3C7D0758B32/files/microfilm
0200068636,Full - result in the forme of an account (version77-83) ,1980-07900410,1980-07-03T00:00:00Z,1979-12-31T00:00:00Z,EN,https://consult.cbso.nbb.be/api/rs-consult/deposits/74CC61AB-E7FD-45B2-A686-B66181EF5FAC/files/microfilm
0200068636,Full - result in the forme of an account (version77-83) ,1979-07902093,1979-07-05T00:00:00Z,1978-12-31T00:00:00Z,EN,https://consult.cbso.nbb.be/api/rs-consult/deposits/DDF8ACD3-A31C-4180-B9EF-96358D7854F9/files/microfilm
0200068636,Full - result in the forme of an account (version77-83) ,1979-00701917,1979-02-26T00:00:00Z,1977-12-31T00:00:00Z,EN,https://consult.cbso.nbb.be/api/rs-consult/deposits/86E2EC81-0D3C-4DF3-AB69-55BF36526A06/files/microfilm
